epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,0.3923995792865753,0.0,1.9661775827407837,2.7334089279174805,1.9661775827407837,1,-1.148859977722168,50.0,0.0
1.0,0.3985896110534668,0.0,1.9272207021713257,2.6498754024505615,1.9272207021713257,2,-1.0119965076446533,50.0,0.0
2.0,0.4058397114276886,0.0,1.886369228363037,2.572023391723633,1.886369228363037,3,-0.8943789601325989,50.0,0.0
3.0,0.4138406813144684,0.0,1.844200611114502,2.4995341300964355,1.844200611114502,4,-0.7957732677459717,50.0,0.0
4.0,0.4222206175327301,0.0,1.8014204502105713,2.43208646774292,1.8014204502105713,5,-0.7148949503898621,50.0,0.0
5.0,0.430858850479126,0.0,1.7583028078079224,2.3693902492523193,1.7583028078079224,6,-0.6490181684494019,50.0,0.0
6.0,0.4397237300872803,0.0,1.7149733304977417,2.3111627101898193,1.7149733304977417,7,-0.593919038772583,50.0,0.0
7.0,0.44880130887031555,0.0,1.671518087387085,2.257122755050659,1.671518087387085,8,-0.5448137521743774,50.0,0.0
8.0,0.4580725133419037,0.0,1.628023386001587,2.2069950103759766,1.628023386001587,9,-0.4979653060436249,50.0,0.0
9.0,0.46750858426094055,0.0,1.5845837593078613,2.1605148315429688,1.5845837593078613,10,-0.4514789581298828,50.0,0.0
0.0,0.5896263122558594,1.0,1.1584477424621582,1.8739042282104492,1.1584477424621582,11,-0.6052441596984863,70.0,0.0
1.0,0.5975630879402161,1.0,1.1241563558578491,1.8441053628921509,1.1241563558578491,12,-0.5449325442314148,70.0,0.0
2.0,0.605702817440033,1.0,1.0900015830993652,1.8165360689163208,1.0900015830993652,13,-0.4794541299343109,70.0,0.0
3.0,0.6139909625053406,1.0,1.0561445951461792,1.7909947633743286,1.0561445951461792,14,-0.4128331243991852,70.0,0.0
4.0,0.6223732829093933,1.0,1.022737979888916,1.7672964334487915,1.022737979888916,15,-0.3475242555141449,70.0,0.0
5.0,0.6307978630065918,1.0,0.9899218082427979,1.7452744245529175,0.9899218082427979,16,-0.28521186113357544,70.0,0.0
6.0,0.6392152905464172,1.0,0.957821786403656,1.7247852087020874,0.957821786403656,17,-0.22708888351917267,70.0,0.0
7.0,0.6475803256034851,1.0,0.9265487790107727,1.7057055234909058,0.9265487790107727,18,-0.17399220168590546,70.0,0.0
8.0,0.6558516025543213,1.0,0.8961960077285767,1.6879295110702515,0.8961960077285767,19,-0.12647463381290436,70.0,0.0
9.0,0.6639923453330994,1.0,0.8668429851531982,1.671365737915039,0.8668429851531982,20,-0.08484362810850143,70.0,0.0
