env_step,episode_reward,step,trial
4.0,1.7789473684210526,1,1.0
8.0,0.8402797202797203,2,2.0
12.0,1.0337662337662337,3,3.0
16.0,1.4999999999999998,4,4.0
20.0,1.8942307692307692,5,5.0
24.0,1.1666666666666665,6,6.0
28.0,0.7863247863247864,7,7.0
32.0,1.0,8,8.0
36.0,0.8141025641025641,9,9.0
40.0,0.7375,10,10.0
44.0,0.20192307692307693,11,11.0
48.0,0.32478632478632485,12,12.0
52.0,0.0,13,13.0
56.0,0.0,14,14.0
60.0,0.0,15,15.0
64.0,0.13636363636363635,16,16.0
68.0,0.19230769230769232,17,17.0
72.0,0.08333333333333333,18,18.0
76.0,0.7909090909090909,19,19.0
80.0,0.09090909090909091,20,20.0
84.0,0.9,21,21.0
88.0,0.9,22,22.0
92.0,0.7272727272727273,23,23.0
96.0,0.8181818181818182,24,24.0
100.0,0.9090909090909091,25,25.0
104.0,1.0,26,26.0
108.0,2.064814814814815,27,27.0
112.0,1.0,28,28.0
116.0,1.1798433048433048,29,29.0
120.0,1.6111111111111112,30,30.0
124.0,2.3030303030303028,31,31.0
128.0,2.291666666666667,32,32.0
132.0,2.0217391304347827,33,33.0
136.0,1.9446428571428571,34,34.0
140.0,2.212121212121212,35,35.0
144.0,2.4444444444444446,36,36.0
148.0,2.7803030303030303,37,37.0
152.0,2.0223850223850226,38,38.0
156.0,2.215311004784689,39,39.0
160.0,2.1466666666666665,40,40.0
164.0,2.2597069597069597,41,41.0
168.0,2.6259615384615387,42,42.0
172.0,2.8666666666666667,43,43.0
176.0,2.85,44,44.0
180.0,2.2727272727272725,45,45.0
184.0,1.790792540792541,46,46.0
188.0,2.3125,47,47.0
192.0,2.8308080808080804,48,48.0
196.0,1.9660087719298245,49,49.0
200.0,2.7041666666666666,50,50.0
204.0,0.9720496894409937,51,51.0
208.0,1.5574009324009324,52,52.0
212.0,0.8583240431066518,53,53.0
216.0,2.3606442577030813,54,54.0
220.0,1.4472431077694234,55,55.0
224.0,2.208566760037348,56,56.0
228.0,2.9071969696969697,57,57.0
232.0,2.127857522594365,58,58.0
236.0,2.8504104591061115,59,59.0
240.0,2.011227071473751,60,60.0
244.0,2.0652173913043477,61,61.0
248.0,2.5934453781512605,62,62.0
252.0,2.2735828877005346,63,63.0
256.0,2.5925013201901077,64,64.0
260.0,2.5413461538461535,65,65.0
264.0,2.7941433566433567,66,66.0
268.0,2.987334646777371,67,67.0
272.0,2.8238636363636362,68,68.0
276.0,1.675,69,69.0
280.0,2.0,70,70.0
284.0,2.925,71,71.0
288.0,1.9040920716112533,72,72.0
292.0,2.5485109093804748,73,73.0
296.0,2.6375,74,74.0
300.0,2.3779602750190985,75,75.0
304.0,2.75,76,76.0
308.0,2.3657342657342655,77,77.0
312.0,2.500757575757576,78,78.0
316.0,2.2885375494071147,79,79.0
320.0,1.7059314954051796,80,80.0
324.0,2.639493839493839,81,81.0
328.0,2.696029776674938,82,82.0
332.0,1.8753501400560224,83,83.0
336.0,2.41301247771836,84,84.0
340.0,2.2789987789987793,85,85.0
344.0,2.3383838383838382,86,86.0
348.0,2.3366433566433567,87,87.0
352.0,2.4466089466089467,88,88.0
356.0,1.4736842105263157,89,89.0
360.0,1.6072874493927127,90,90.0
364.0,2.3185714285714285,91,91.0
368.0,2.972943722943723,92,92.0
372.0,2.751731601731602,93,93.0
376.0,2.515217391304348,94,94.0
380.0,2.607664884135472,95,95.0
384.0,1.9545454545454546,96,96.0
388.0,2.4944444444444445,97,97.0
392.0,2.5490435490435495,98,98.0
396.0,1.366153846153846,99,99.0
400.0,2.3320158102766797,100,100.0
404.0,2.8521739130434782,101,101.0
408.0,1.9923687423687424,102,102.0
412.0,2.4945697577276524,103,103.0
416.0,1.2422334698549533,104,104.0
420.0,2.6,105,105.0
424.0,2.3894586894586896,106,106.0
428.0,2.8997364953886695,107,107.0
