epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,-30.52969741821289,0.0,0.04030957072973251,0.9535480737686157,0.04030957072973251,1,-1824.1502685546875,50.0,0.0
1.0,-28.440046310424805,0.0,0.03804504871368408,0.9263777136802673,0.03804504871368408,2,-1654.5771484375,50.0,0.0
2.0,-26.49125099182129,0.0,0.03590807691216469,0.8996695280075073,0.03590807691216469,3,-1497.916259765625,50.0,0.0
3.0,-24.664033889770508,0.0,0.0338766984641552,0.8733603954315186,0.0338766984641552,4,-1353.7943115234375,50.0,0.0
4.0,-22.947187423706055,0.0,0.0319378599524498,0.8473873138427734,0.0319378599524498,5,-1221.67529296875,50.0,0.0
5.0,-21.33131980895996,0.0,0.03008171357214451,0.8216951489448547,0.03008171357214451,6,-1101.0263671875,50.0,0.0
6.0,-19.808895111083984,0.0,0.028301728889346123,0.7962405681610107,0.028301728889346123,7,-991.3840942382812,50.0,0.0
7.0,-18.374069213867188,0.0,0.026594659313559532,0.77098548412323,0.026594659313559532,8,-892.24609375,50.0,0.0
8.0,-17.022254943847656,0.0,0.024959394708275795,0.7458943128585815,0.024959394708275795,9,-803.0245361328125,50.0,0.0
9.0,-15.749580383300781,0.0,0.023395899683237076,0.7209341526031494,0.023395899683237076,10,-723.0528564453125,50.0,0.0
0.0,-13.580217361450195,1.0,0.01869584433734417,0.6879395842552185,0.01869584433734417,11,-650.218017578125,70.0,0.0
1.0,-12.69215202331543,1.0,0.017660869285464287,0.6639376878738403,0.017660869285464287,12,-583.2243041992188,70.0,0.0
2.0,-11.83262825012207,1.0,0.01664816401898861,0.6398188471794128,0.01664816401898861,13,-523.0306396484375,70.0,0.0
3.0,-11.00456428527832,1.0,0.015664909034967422,0.6155916452407837,0.015664909034967422,14,-469.14508056640625,70.0,0.0
4.0,-10.210441589355469,1.0,0.014716831035912037,0.5912641286849976,0.014716831035912037,15,-421.0291442871094,70.0,0.0
5.0,-9.45195198059082,1.0,0.013807873241603374,0.5668414235115051,0.013807873241603374,16,-378.1228942871094,70.0,0.0
6.0,-8.730354309082031,1.0,0.012940811924636364,0.5423243641853333,0.012940811924636364,17,-339.88934326171875,70.0,0.0
7.0,-8.046907424926758,1.0,0.012118065729737282,0.5177123546600342,0.012118065729737282,18,-305.840576171875,70.0,0.0
8.0,-7.40282678604126,1.0,0.011341831646859646,0.49300655722618103,0.011341831646859646,19,-275.5357360839844,70.0,0.0
9.0,-6.7988667488098145,1.0,0.010613564401865005,0.4682115912437439,0.010613564401865005,20,-248.57505798339844,70.0,0.0
0.0,-7.141767978668213,2.0,0.010107187554240227,0.4471331238746643,0.010107187554240227,21,-300.07037353515625,90.0,0.0
1.0,-6.520133018493652,2.0,0.009413260035216808,0.42236068844795227,0.009413260035216808,22,-272.6138916015625,90.0,0.0
2.0,-5.905815601348877,2.0,0.00871522631496191,0.39713817834854126,0.00871522631496191,23,-248.0360565185547,90.0,0.0
3.0,-5.320667266845703,2.0,0.008043491281569004,0.3715975880622864,0.008043491281569004,24,-226.08668518066406,90.0,0.0
4.0,-4.77724552154541,2.0,0.007416676729917526,0.3458430767059326,0.007416676729917526,25,-206.5044403076172,90.0,0.0
5.0,-4.280838966369629,2.0,0.006843956653028727,0.3199585974216461,0.006843956653028727,26,-189.03695678710938,90.0,0.0
6.0,-3.8311996459960938,2.0,0.006327103823423386,0.2940068244934082,0.006327103823423386,27,-173.44491577148438,90.0,0.0
7.0,-3.4245152473449707,2.0,0.00586323719471693,0.26802659034729004,0.00586323719471693,28,-159.49803161621094,90.0,0.0
8.0,-3.055501699447632,2.0,0.005447596777230501,0.2420351803302765,0.005447596777230501,29,-146.96969604492188,90.0,0.0
9.0,-2.719183921813965,2.0,0.005075450986623764,0.21603675186634064,0.005075450986623764,30,-135.6449432373047,90.0,0.0
0.0,-2.6231460571289062,3.0,0.004501430783420801,0.18926236033439636,0.004501430783420801,31,-148.78643798828125,110.0,0.0
1.0,-2.300135612487793,3.0,0.004188235849142075,0.16302937269210815,0.004188235849142075,32,-137.80392456054688,110.0,0.0
2.0,-2.0029664039611816,3.0,0.0039006220176815987,0.1366279423236847,0.0039006220176815987,33,-127.85211944580078,110.0,0.0
3.0,-1.734696865081787,3.0,0.003643082920461893,0.11015358567237854,0.003643082920461893,34,-118.94713592529297,110.0,0.0
4.0,-1.4948567152023315,3.0,0.0034163787495344877,0.08367805182933807,0.0034163787495344877,35,-111.01513671875,110.0,0.0
5.0,-1.2808424234390259,3.0,0.0032185926102101803,0.05724180489778519,0.0032185926102101803,36,-103.89561462402344,110.0,0.0
6.0,-1.089444875717163,3.0,0.0030466876924037933,0.03085511550307274,0.0030466876924037933,37,-97.36741638183594,110.0,0.0
7.0,-0.9174255132675171,3.0,0.0028974469751119614,0.004508526064455509,0.0028974469751119614,38,-91.18896484375,110.0,0.0
8.0,-0.761881947517395,3.0,0.0027676699683070183,-0.021815145388245583,0.0027676699683070183,39,-85.1589584350586,110.0,0.0
9.0,-0.6204220652580261,3.0,0.002654182957485318,-0.048134781420230865,0.002654182957485318,40,-79.16202545166016,110.0,0.0
0.0,-1.182421326637268,4.0,0.003444536356255412,-0.06995250284671783,0.003444536356255412,41,-72.51028442382812,130.0,0.0
1.0,-0.9740097522735596,4.0,0.0032597000245004892,-0.09637119621038437,0.0032597000245004892,42,-67.93165588378906,130.0,0.0
2.0,-0.7734498381614685,4.0,0.0030730345752090216,-0.12315510213375092,0.0030730345752090216,43,-63.44392776489258,130.0,0.0
3.0,-0.5923506617546082,4.0,0.00289799552410841,-0.15014490485191345,0.00289799552410841,44,-59.19169616699219,130.0,0.0
4.0,-0.4349171817302704,4.0,0.002740507246926427,-0.17722073197364807,0.002740507246926427,45,-55.26818084716797,130.0,0.0
5.0,-0.2990531921386719,4.0,0.0026002260856330395,-0.20431627333164215,0.0026002260856330395,46,-51.70625305175781,130.0,0.0
6.0,-0.18139365315437317,4.0,0.002475051674991846,-0.23141582310199738,0.002475051674991846,47,-48.49805450439453,130.0,0.0
