Year,Month,Day,DayOfWeek,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Press_Max,Press_Avg,Press_Min,Precip,Holiday
2019,1,1,3,12,7.8,6,7,3.2,2,85,73.7,68,33,10.3,0,1006.8,1003.8,995.9,27.69,1
2019,1,2,4,7,6,4,3,2.6,1,85,79.3,71,24,10.4,0,1007.2,1004.1,1000.8,0,0
2019,1,3,5,7,4.3,3,1,-0.7,-2,79,70.8,58,19,6.7,0,1003.8,1001.3,998.9,0,0
2019,1,4,6,8,6.5,3,7,4.5,0,93,86.9,71,19,10.6,0,997.9,987.7,984.2,0,0
2019,1,5,7,13,7.6,3,4,2.4,0,86,70.8,51,19,12.6,7,1000.8,996.2,989.5,17.27,0
2019,1,6,1,14,9.3,3,6,4.3,1,93,71.6,53,11,5.5,0,1005.2,1003.3,1000.8,0,0
2019,1,7,2,18,13.5,9,11,6.4,3,75,63.5,40,37,19.4,6,1002.2,997.4,993.5,0,0
2019,1,8,3,19,13.5,7,11,6.4,-4,83,63.4,35,44,23.7,13,1002.5,996.9,992.5,0,0
2019,1,9,4,6,1.4,-3,-4,-7.9,-11,59,50.6,41,43,27,20,1008.8,1005.3,1001.5,0,0
2019,1,10,5,1,-2.6,-4,-8,-10.7,-12,69,55.5,43,22,11.4,0,1012.1,1010.2,1009.2,0,0
2019,1,11,6,3,-0.5,-5,-2,-6.6,-9,89,65.3,50,15,8.3,0,1012.1,1009.7,1008.2,0,0
2019,1,12,7,4,2.3,-1,2,0,-2,92,85.3,76,17,9.8,0,1007.5,1004.7,1000.8,5.84,0
2019,1,13,1,4,2.1,1,2,0.1,-2,93,86.7,82,20,14.1,9,1008.2,1003.4,1000.2,5.08,0
2019,1,14,2,2,0.3,-2,-2,-4.1,-6,82,73.9,57,19,10.9,6,1010.8,1009.1,1007.8,1.78,0
2019,1,15,3,2,0.6,-2,-2,-3.2,-5,81,75.8,72,19,13.2,0,1009.5,1007.3,1004.8,0,0
2019,1,16,4,5,4,3,2,0.6,-1,89,78.6,76,17,10,0,1007.5,1006,1004.2,0,0
2019,1,17,5,8,5.8,4,6,3.5,1,93,85,79,20,11.9,7,1005.5,1000.7,997.5,0,0
2019,1,18,6,6,4.4,4,3,1.3,1,86,78.4,73,17,8.6,0,1004.2,1001.7,997.5,3.56,0
2019,1,19,7,9,4.4,-4,7,2.4,-6,93,86.7,76,43,18.8,0,996.9,986.8,978.6,5.08,0
2019,1,20,1,-3,-5.8,-9,-6,-12.3,-17,85,63.4,40,43,25.8,6,1012.1,1001.3,990.2,19.05,0
2019,1,21,2,-4,-7.6,-12,-13,-14.2,-16,77,60.1,42,17,8.5,0,1017.8,1014.5,1011.8,0,1
2019,1,22,3,9,1.5,-7,2,-7.5,-13,65,52,39,28,16.8,7,1012.5,1007.5,999.5,0,0
